"paperID"	"obsID"	"measCat"	"n1i"	"m1i"	"sd1i"	"n2i"	"m2i"	"sd2i"	"measQuality"	"ecosystCat"	"studyType"	"InvNfix"	"NatNfix"	"Nfix"	"invGenera"	"traitCat"	"InvArea_qualRank"	"InvArea_cwm"	"InvSpInvArea_qualRank"	"InvSpInvArea_cwm"	"NatArea_qualRank"	"NatArea_cwm"	"CWMDiff_cwm"	"CWMDiff2_cwm"	"yi"	"vi"	"CWMDiff_qualRank"	"CWMDiff2_qualRank"	"sourceOverlap"
"33"	6	6.01	"soiln"	100	6309.92	6451.32653061224	100	6115.7	5144.18367346939	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"littercn"	2	46.4	2	46.4	1	71.35	-24.95	-24.95	0.0331620535111118	0.0200027493044827	3	3	"PaperInPreviousMeta"
"34"	6	6.01	"soiln"	100	6309.92	6451.32653061224	100	6115.7	5144.18367346939	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"litterpercN"	2	0.93	2	0.93	1	0.695	0.235	0.235	0.0331620535111118	0.0200027493044827	3	3	"PaperInPreviousMeta"
"35"	6	6.01	"soiln"	100	6309.92	6451.32653061224	100	6115.7	5144.18367346939	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"percN"	2	1.22	2	1.22	2	1.63319821621622	-0.41319821621622	-0.41319821621622	0.0331620535111118	0.0200027493044827	4	4	"PaperInPreviousMeta"
"36"	6	6.02	"toti"	25	1.968	1.875	25	1.269	1.2	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"cn"	2	35.4	2	35.4	1	49.65	-14.25	-14.25	0.43708043177416	0.0819103930383989	3	3	"PaperInPreviousMeta"
"37"	6	6.02	"toti"	25	1.968	1.875	25	1.269	1.2	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"littercn"	2	46.4	2	46.4	1	71.35	-24.95	-24.95	0.43708043177416	0.0819103930383989	3	3	"PaperInPreviousMeta"
"38"	6	6.02	"toti"	25	1.968	1.875	25	1.269	1.2	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"litterpercN"	2	0.93	2	0.93	1	0.695	0.235	0.235	0.43708043177416	0.0819103930383989	3	3	"PaperInPreviousMeta"
"39"	6	6.02	"toti"	25	1.968	1.875	25	1.269	1.2	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"percN"	2	1.22	2	1.22	2	1.63319821621622	-0.41319821621622	-0.41319821621622	0.43708043177416	0.0819103930383989	4	4	"PaperInPreviousMeta"
"40"	6	6.02	"ammonif"	50	7.89	14.8068159980463	50	2.399	5.01338707861262	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"cn"	2	35.4	2	35.4	1	49.65	-14.25	-14.25	0.492936335623746	0.0412149311548908	3	3	"PaperInPreviousMeta"
"41"	6	6.02	"ammonif"	50	7.89	14.8068159980463	50	2.399	5.01338707861262	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"littercn"	2	46.4	2	46.4	1	71.35	-24.95	-24.95	0.492936335623746	0.0412149311548908	3	3	"PaperInPreviousMeta"
"42"	6	6.02	"ammonif"	50	7.89	14.8068159980463	50	2.399	5.01338707861262	"NoAgg.Conv"	"shrubland"	"field study"	"Non-N-fixing"	"No N-fixers"	"No N-fixers"	"Melinis"	"litterpercN"	2	0.93	2	0.93	1	0.695	0.235	0.235	0.492936335623746	0.0412149311548908	3	3	"PaperInPreviousMeta"
